"","store_number","category_name","Date","forecast_volume","fc_sales"
"110",2670,"Straight Bourbon Whiskies",2022-09-04,181.943263258451,3413.95068021987
"111",2670,"Straight Bourbon Whiskies",2022-09-11,162.427193801956,3581.7484351687
"112",2670,"Straight Bourbon Whiskies",2022-09-18,172.997242679623,3450.68583804257
"113",2670,"Straight Bourbon Whiskies",2022-09-25,224.506647151093,3461.4279884331
"114",2670,"Straight Bourbon Whiskies",2022-10-02,224.626243512912,3119.22621283956
"115",2670,"Straight Bourbon Whiskies",2022-10-09,191.607823352688,3275.02397883444
"116",2670,"Straight Bourbon Whiskies",2022-10-16,192.265358336273,3336.81486272211
"117",2670,"Straight Bourbon Whiskies",2022-10-23,178.503377915408,3592.926125228
"118",2670,"Straight Bourbon Whiskies",2022-10-30,191.568790301609,3414.28169036814
"119",2670,"Straight Bourbon Whiskies",2022-11-06,176.711734741751,3549.62883639584
"120",2670,"Straight Bourbon Whiskies",2022-11-13,188.494757263137,3227.67907468052
"121",2670,"Straight Bourbon Whiskies",2022-11-20,182.637565508565,3456.55575133847
"122",2670,"Straight Bourbon Whiskies",2022-11-27,219.534875245241,3110.83597666038
"123",2670,"Straight Bourbon Whiskies",2022-12-04,184.924107659901,3367.06570595617
"124",2670,"Straight Bourbon Whiskies",2022-12-11,187.539408583094,3394.7648674508
"125",2670,"Straight Bourbon Whiskies",2022-12-18,184.188222067718,3468.47327811512
"126",2670,"Straight Bourbon Whiskies",2022-12-25,174.204725923447,3663.86682647718
"127",2670,"Canadian Whiskies",2022-08-28,208.028837281353,2817.42855501093
"128",2670,"Canadian Whiskies",2022-09-04,198.694331763989,2886.94112826592
"129",2670,"Canadian Whiskies",2022-09-11,194.298629849631,2771.29849688443
"130",2670,"Canadian Whiskies",2022-09-18,200.566675916866,2825.03880195416
"131",2670,"Canadian Whiskies",2022-09-25,206.709596805846,2878.00834975303
"132",2670,"Canadian Whiskies",2022-10-02,245.584538963046,2885.25676461697
"133",2670,"Canadian Whiskies",2022-10-09,194.489037729584,2802.94899275755
"134",2670,"Canadian Whiskies",2022-10-16,199.138616817214,2819.54146598156
"135",2670,"Canadian Whiskies",2022-10-23,200.113323821739,2818.55878970547
"136",2670,"Canadian Whiskies",2022-10-30,201.926732202249,2810.0255177617
"137",2670,"Canadian Whiskies",2022-11-06,203.694805373247,2893.38346602479
"138",2670,"Canadian Whiskies",2022-11-13,201.437111939511,2867.53248692802
"139",2670,"Canadian Whiskies",2022-11-20,203.830811001786,2871.849355553
"140",2670,"Canadian Whiskies",2022-11-27,204.062020570301,2905.39142476907
"141",2670,"Canadian Whiskies",2022-12-04,197.982568974638,2780.31761276981
"142",2670,"Canadian Whiskies",2022-12-11,208.523005186357,2932.27060348379
"143",2670,"Canadian Whiskies",2022-12-18,190.540340981022,2669.62682214378
"144",2670,"Canadian Whiskies",2022-12-25,199.886647774175,2834.02416777575
"145",3773,"Canadian Whiskies",2022-08-28,278.111446922145,2228.24507583661
"146",3773,"Canadian Whiskies",2022-09-04,289.243406454815,2622.13052059589
"147",3773,"Canadian Whiskies",2022-09-11,293.190981919549,2219.69569527442
